uri,dc.identifier,notation,prefLabel,definition,exactMatch,closeMatch,inScheme,topConceptOf
concept:se,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.se,SE,sedimentair,"Afgezet door bezinking in een vloeibaar medium, zoals water of lucht. ",http://inspire.ec.europa.eu/codelist/LithologyValue/sedimentaryMaterial,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sf,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sf,SF,schelpfragmenten,Afgebroken of verbrijzelde fragmenten van schelpen.,,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/shellGrit,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sg,SG,schelpgruis,Vergruisde schelpfragmenten. ,,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/shellGrit,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sh,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sh,SH,schalie,Kleisteen met ontwikkelde splijting.,http://inspire.ec.europa.eu/codelist/LithologyValue/shale,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:si,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.si,SI,silt,"Fijnkorrelig sediment waarvan de korrelgrootte kan verschillen al naar gelang de gevolgde classificatie: 0.002-0.063 mm (ISO 14688/ISO 11277), 0.002-0.05 mm (USDA Soil Classification), 0.004-0.063 mm (Udden-Wentworth), in de Belgische bodemclassificatie wordt dit leem genoemd (0.002 - 0.050 mm)",http://inspire.ec.europa.eu/codelist/LithologyValue/silt,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sk,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sk,SK,schieferige kalksteen,Kleirijke kalksteen met ontwikkeling van splijting. ,,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sl,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sl,SL,slib,Modderige kleiige afzetting op een waterbodem. ,,https://inspire.ec.europa.eu/codelist/LithologyValue/mud,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sn,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sn,SN,steenfragmenten,Fragmenten van gesteenten die voorkomen in een matrix van ander materiaal.,,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/aggregate,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:so,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.so,SO,scoria,"Donker poreus vulkanische gesteente, mafische variant van puimsteen.",,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sr,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sr,SR,schiefer,Kleisteen met goed ontwikkelde splijting.,http://inspire.ec.europa.eu/codelist/LithologyValue/shale,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ss,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ss,SS,siltsteen,Siltsteen is een sediment dat bestaat uit silt. Door diagenese is het sediment verhard tot steen.,http://inspire.ec.europa.eu/codelist/LithologyValue/siltstone,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:st,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.st,ST,stenen,"Stenen waarvan de diameter kan verschillen al naar gelang de gevolgde classificatie: 63-200 mm (ISO 14688), 64-256 mm (Udden-Wentworth), 76-250 mm (USDA Soil Classification), > 200 mm (Belgische bodemclassificatie met daarnaast keien (75-200 mm).",,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/aggregate,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sx,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sx,SX,silex,"Cryptokristallijne vorm van kwarts, ook wel vuursteen, chert of flint genoemd.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/silica,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sy,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sy,SY,schist,"Metamorfe vorm van kleisteen met een hogere graad dan leisteen en fylliet, met duidelijke foliaties.",http://inspire.ec.europa.eu/codelist/LithologyValue/schist,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ta,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ta,TA,teelaarde,Een mengeling van organische stof (humus) en minerale delen.,,http://inspire.ec.europa.eu/codelist/LithologyValue/topsoil,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ts,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ts,TS,tufsteen (tuffeau),Zacht poreus gesteente gevormd door compactie van vulkanische as.,http://inspire.ec.europa.eu/codelist/LithologyValue/tuffite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:tu,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.tu,TU,tuff,Vulkanische as.,http://inspire.ec.europa.eu/codelist/LithologyValue/ashTuffLapillistoneAndLapilliTuff,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ve,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ve,VE,veen,Een bodem- of grondlaag waarvan de dikte typisch groter is dan 30 cm en die meer dan 40 % organisch materiaal bevat.,http://inspire.ec.europa.eu/codelist/LithologyValue/peat,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:vg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.vg,VG,vulkanisch gesteente,"Uitvloeiingsgesteente, gevormd door het stollen van lava aan het oppervlak bij vulkanische activiteit. ",,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:vs,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.vs,VS,vuursteen,"Cryptokristallijne vorm van kwarts, ook wel silex, chert of flint genoemd.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ws,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ws,WS,wacksteen,Kalksteen met een kleimatrix.,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateWackestone,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:xg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.xg,XG,grind,"Grofkorrelig sediment waarvan de korrelgrootte kan verschillen al naar gelang de gevolgde classificatie: 2.00-63 mm (ISO 14688), 2-64 mm (Udden-Wentworth), 2-76 mm (USDA Soil Classification), 2-75 mm (Belgische bodemclassificatie).",http://inspire.ec.europa.eu/codelist/LithologyValue/gravel,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:xx,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.xx,XX,onbekend,Onbekend.,,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:xz,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.xz,XZ,zand,"Sediment met specifieke korrelgroottes die kunnen verschillen al naar gelang de gevolgde classificatie: 0.063-2.000 mm (ISO 14688/ ISO 11277), 0.063-2.000 mm (Udden-Wentworth): 0.050-2.000 mm (USDA Soil Classification en Belgische bodemclassificatie).",http://inspire.ec.europa.eu/codelist/LithologyValue/sand,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:zl,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.zl,ZL,zandleem,Textuurtype of naam gebruikt voor het beschrijven van fijnkorrelig sediment dat voornamelijk bestaat uit een mengsel van zand en leem of silt. Op een bodemtextuur of driehoeksdriagramma komen deze sedimenten uit in zones P en L.,,http://inspire.ec.europa.eu/codelist/LithologyValue/silt,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:zs,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.zs,ZS,zandsteen,Gesteente dat hoofdzakelijk bestaat uit aaneengekitte zandkorrels. ,http://inspire.ec.europa.eu/codelist/LithologyValue/genericSandstone,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
