uri,dc.identifier,notation,prefLabel,definition,exactMatch,closeMatch,inScheme,topConceptOf
concept:dl,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.dl,DL,doleriet,"Mafisch intrusief stollingsgesteente, ganggesteente.",http://inspire.ec.europa.eu/codelist/LithologyValue/doleriticRock,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:do,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.do,DO,dolomiet,"Carbonaatmineraal bestaande uit calciummagnesiumcarbonaat, of gesteente bestaande uit het mineraal dolomiet.",http://inspire.ec.europa.eu/codelist/LithologyValue/dolomite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:dr,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.dr,DR,dioriet,Intermediair intrusief stollingsgesteente.,http://inspire.ec.europa.eu/codelist/LithologyValue/diorite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ev,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ev,EV,evaporiet,Gesteente of mineraal ontstaan door indamping waarbij mineralen en zouten neerslaan na verzadiging in water.,http://inspire.ec.europa.eu/codelist/LithologyValue/evaporite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:fe,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.fe,FE,ijzer,"Chemisch element ijzer, kan oxideren of roesten in  de bodem en ondergrond, met een roestbruine kleur tot gevolg. ",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/iron,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:fg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.fg,FG,fijn grind,"Grofkorrelig sediment waarvan de korrelgrootte kan verschillen al naar gelang de gevolgde classificatie: 2.00-6.30 mm (ISO 14688), 2-4 mm (Granule: Udden-Wentworth), 2-5 mm (USDA Soil Classification).",,http://inspire.ec.europa.eu/codelist/LithologyValue/gravel,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:fo,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.fo,FO,fosforiet,Sedimentair gesteente dat voor een belangrijk deel uit fosfaten bestaat.,http://inspire.ec.europa.eu/codelist/LithologyValue/phosphorite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:fs,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.fs,FS,fossielen,"Fossielen zijn de resten van dieren en planten die duizenden tot honderden miljoenen jaren geleden stierven en bewaard bleven in het gesteente of in de sedimenten. Wat gevonden wordt als fossiel, is in veel gevallen slechts een skeletdeel of een afdruk van de oorspronkelijke dieren of planten.",,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:fy,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.fy,FY,fylliet,"Metamorfe vorm van kleisteen, verder geëvolueerd dan leisteen.",http://inspire.ec.europa.eu/codelist/LithologyValue/phyllite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:fz,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.fz,FZ,fijn zand,"Sediment met specifieke korrelgroottes die kunnen verschillen al naar gelang de gevolgde classificatie: 0.063-0.200 mm (ISO 14688), 0.125-0.200 mm (ISO 11277), 0.125-0.250 mm (Udden-Wentworth), 0.105-0.150 mm (Belgische bodemclassificatie met daarnaast ook uiterst fijn zand (0.050-0.075mm) en zeer fijn zand 0.075-0.105 mm) en matig fijn zand (0.150-0.210mm))",,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ga,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ga,GA,geroerd / gestoord,Door menselijke activiteit verstoord sediment.,http://inspire.ec.europa.eu/codelist/LithologyValue/anthropogenicMaterial,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gb,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gb,GB,gabbro,"Mafisch intrusief stollingsgesteente, dieptegesteente.",http://inspire.ec.europa.eu/codelist/LithologyValue/gabbro,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gd,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gd,GD,granodioriet,"Felsisch intrusief gesteente, tussen graniet en dioriet.",http://inspire.ec.europa.eu/codelist/LithologyValue/granodiorite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gg,GG,grof grind,"Grofkorrelig sediment waarvan de korrelgrootte kan verschillen al naar gelang de gevolgde classificatie: 20-63 mm (ISO 14688), 4-64 mm (Pebble: Udden-Wentworth), 20-76 (USDA Soil Classification).",,http://inspire.ec.europa.eu/codelist/LithologyValue/gravel,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gh,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gh,GH,groenschist,"Metamorf gesteente met splijting (schistositeit), gevormd onder gemiddelde druk en temperatuur, rijk aan groene mineralen epidoot, chloriet en chloritoid. ",,http://inspire.ec.europa.eu/codelist/LithologyValue/chloriteActinoliteEpidoteMetamorphicRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gi,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gi,GI,gips,Gehydrateerd evaporitisch mineraal bestaande uit calciumsulfaat.,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gl,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gl,GL,glauconiet,Groen ijzerhoudend kleimineraal dat zich opkrult tot bolletjes met de korrelgrootte van zand.,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/glauconite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ge,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ge,GE,gespleten metamorf,Metamorf gesteente met goed ontwikkelde splijting.,,http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gm,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gm,GM,glimmers,"Mica's, een groep van plaatvormige fylosilicaatmineralen.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gn,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gn,GN,gneis,"Metamorf gesteente met geband uiterlijk, oorspronkelijk zandsteen of graniet.",http://inspire.ec.europa.eu/codelist/LithologyValue/gneiss,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gr,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gr,GR,graniet,"Felsisch intrusief gesteente, dieptegesteente.",http://inspire.ec.europa.eu/codelist/LithologyValue/granite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gs,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gs,GS,groensteen,"Metamorf massief gesteente, gevormd onder gemiddelde druk en temperatuur, rijk aan groene mineralen epidoot, chloriet en chloritoid. ",http://inspire.ec.europa.eu/codelist/LithologyValue/chloriteActinoliteEpidoteMetamorphicRock,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:gz,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.gz,GZ,grof zand,"Sediment met specifieke korrelgroottes die kunnen verschillen al naar gelang de gevolgde classificatie: 0.630-2.000 mm (ISO 14688), 0.630-1.250 mm (ISO 11277), 0.500-1.000 mm (Udden-Wentworth), 0.300-0.420 mm (Belgische bodemclassificatie met daarnaast matig grof zand (0.210-0.300mm), zeer grof zand (0.420-1mm) en uiterst grof zand (1-2mm))",,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ha,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ha,HA,haliet,Mineraal steenzout (NaCl).,http://inspire.ec.europa.eu/codelist/LithologyValue/rockSalt,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:he,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.he,HE,hematiet,"IJzeroxide mineraal (Fe2O3) met rode, roestbruine tot zwarte kleur.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/hematite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:hk,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.hk,HK,houtskool,Verkoold hout dat nagenoeg uit zuiver koolstof bestaat.,,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ht,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ht,HT,houtresten,Resten van hout zoals delen van boomstammen of takken.,,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:hu,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.hu,HU,humus,Organische stof,http://inspire.ec.europa.eu/codelist/MineralDepositGroupValue/organic,http://inspire.ec.europa.eu/codelist/LithologyValue/topsoil,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ig,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ig,IG,intrusief gesteente,Gesteente gevormd door de ondergrondse stolling van magma.,,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:io,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.io,IO,ijzerooliet,"Gesteente met een oölietische textuur, aaneengekit door ijzeroxiden.",,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSedimentaryRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ka,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ka,KA,kalk,Calciumcarbonaat.,http://inspire.ec.europa.eu/codelist/LithologyValue/calcareousCarbonateSediment,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kb,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kb,KB,kalksteenbreccie,Breccie hoofdzakelijk bestaande uit kalksteenfragmenten.,,http://inspire.ec.europa.eu/codelist/LithologyValue/breccia,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kc,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kc,KC,kalkschiefer,Schiefergesteente dat een significante hoeveelheid kalk bevat.,,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kl,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kl,KL,klei,"Fijnkorrelig sediment waarvan de korrelgrootte kan verschillen al naar gelang de gevolgde classificatie:  kleiner dan 0.002 mm (ISO 14688/ISO 11277/Belgische bodemclassificatie/USDA soil classification), kleiner dan 0.004 mm (Udden-Wentworth)",http://inspire.ec.europa.eu/codelist/LithologyValue/clay,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kr,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kr,KR,krijt,"Zacht wit sedimentair gesteente bestaande uit calciumcarbonaat, door de opeenstapeling van microscopische kalkskeletjes. ",http://inspire.ec.europa.eu/codelist/LithologyValue/chalk,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ks,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ks,KS,kalksteen,"Sedimentair gesteente dat hoofdzakelijk uit calciumcarbonaat bestaat, vaak door een opeenstapeling van (micro)fossielen met kalkcement.",http://inspire.ec.europa.eu/codelist/LithologyValue/limestone,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kt,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kt,KT,kleisteen,Gesteente dat hofdzakelijk bestaat uit een opeenstapeling van kleipartikels.,http://inspire.ec.europa.eu/codelist/LithologyValue/claystone,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kw,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kw,KW,kwartsiet,"Metamorf gesteente hoodzakelijk bestaande uit kwarts, gevormd door omzetting van sedimentaire zandsteen onder hoge druk en temperatuur.",http://inspire.ec.europa.eu/codelist/LithologyValue/quartzite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:kz,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.kz,KZ,kalkzandsteen,Zandsteen waarbij de zandkorrels aan elkaar gekit zijn door een kalkcement.,,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:la,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.la,LA,lateriet,"Oppervlakkige verweringslaag hoofdzakelijk bestaande uit kaoliniet, hematiet en gibbsiet, vaak gevormd in (sub)tropische omstandigheden.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/laterite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:le,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.le,LE,leem,Textuurtype of grondsoortnaam gebruikt voor het beschrijven van fijnkorrelig sediment als synoniem voor silt. Leem wordt ook gebruikt voor het beschrijven van fijnkorrelig sediment afgezet door de wind. 0.002-0.050 mm (Belgische bodemclassificatie),http://inspire.ec.europa.eu/codelist/LithologyValue/silt,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:lg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.lg,LG,ligniet,"Bruinkool, gevormd door de diepere begraving van veen of turf.",http://inspire.ec.europa.eu/codelist/LithologyValue/lignite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:li,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.li,LI,limoniet,"Amorf gehydrateerd ijzerhydroxide mineraal, gevormd door oxidatie van ijzerhoudende mineralen. ",,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSediment,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ls,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ls,LS,leisteen,Metamorfe vorm van kleisteen met goed ontwikkelde splijtingsvlakken.,http://inspire.ec.europa.eu/codelist/LithologyValue/slate,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ma,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ma,MA,marmer,Metamorfe vorm van kalksteen.,http://inspire.ec.europa.eu/codelist/LithologyValue/marble,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:me,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.me,ME,mergel,Sterk kalkhoudende kleisteen. ,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateMudstone,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:mg,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.mg,MG,middelmatig grind,"Grofkorrelig sediment waarvan de korrelgrootte kan verschillen al naar gelang de gevolgde classificatie: 6.3 en 20 mm (ISO 14688), 5-20 mm (USDA Soil Classification).",,http://inspire.ec.europa.eu/codelist/LithologyValue/gravel,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:mm,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.mm,MM,metamorf gesteente,"Gesteente gevormd onder hoge druk en temperatuur, waarbij eerder gevormde sedimentaire of magmatische gesteenten veranderingen ondergaan.",http://inspire.ec.europa.eu/codelist/LithologyValue/metamorphicRock,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ms,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ms,MS,micaschist,Schist met een hoog gehalte aan mica's.,http://inspire.ec.europa.eu/codelist/LithologyValue/micaSchist,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:my,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.my,MY,myloniet,Sterk gefolieerd metamorf gesteente ontstaan door plastische deformatie in de diepe aardkorst en aardmantel.,http://inspire.ec.europa.eu/codelist/LithologyValue/myloniticRock,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:mz,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.mz,MZ,middelmatig zand,"Sediment met specifieke korrelgroottes die kunnen verschillen al naar gelang de gevolgde classificatie: 0.200-0.630 mm (ISO 14688/ISO 11277), 0.250-0.500 mm (Udden-Wentworth).",,http://inspire.ec.europa.eu/codelist/LithologyValue/sand,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:nu,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.nu,NU,nummulieten,Eéncellige kalkschalige foraminiferen die enkele millimeter tot enkele centimeter groot kunnen worden. ,,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ok,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ok,OK,oölitische kalksteen,Kalksteen rijk aan oölieten.,,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryRock,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:om,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.om,OM,organisch materiaal,"Afgestorven plantaardig en/of dierlijk materiaal, bestaande uit organische koolstofverbindingen. ",http://inspire.ec.europa.eu/codelist/MineralDepositGroupValue/organic,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:pe,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.pe,PE,pegmatiet,Intrusief stollingsgesteente bestaande uit zeer grote kristallen.,http://inspire.ec.europa.eu/codelist/MineralDepositGroupValue/pegmatite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:pk,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.pk,PK,poederkool,Actieve kool in poedervorm.,,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/coal,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
